Category: All categories

Region,GHIBLI ART: (3/19/25 - 4/19/25)
Andaman and Nicobar Islands,100
Assam,91
West Bengal,91
Daman and Diu,90
Dadra and Nagar Haveli,88
Gujarat,85
Madhya Pradesh,84
Tripura,83
Rajasthan,81
Maharashtra,81
Odisha,81
Delhi,78
Goa,76
Sikkim,75
Uttarakhand,74
Chhattisgarh,74
Andhra Pradesh,73
Telangana,72
Haryana,65
Chandigarh,65
Arunachal Pradesh,65
Uttar Pradesh,63
Puducherry,62
Bihar,61
Jharkhand,58
Karnataka,57
Tamil Nadu,56
Punjab,54
Himachal Pradesh,54
Meghalaya,47
Nagaland,41
Jammu and Kashmir,36
Manipur,35
Mizoram,28
Kerala,28
Lakshadweep,
