Category: All categories

Country,GHIBLI ART: (3/19/25 - 4/19/25)
India,100
Bangladesh,26
Sri Lanka,26
Nepal,26
Pakistan,19
United Arab Emirates,12
Qatar,
Maldives,
Brunei,
Togo,
Oman,
Kuwait,
Singapore,6
Bahrain,
Malaysia,5
Philippines,5
Zimbabwe,
Iraq,
Lebanon,
Fiji,
Bhutan,
Tunisia,
Ireland,
Canada,2
Algeria,
Cyprus,
Saudi Arabia,2
Morocco,
Egypt,2
Lesotho,
China,
Somalia,
Australia,1
Serbia,
South Africa,
New Zealand,
Eswatini,
Nigeria,
Uganda,
Jordan,
Georgia,
Botswana,
Kenya,
United Kingdom,1
Bulgaria,
South Sudan,
Barbados,
Mauritius,
Uzbekistan,
Portugal,
Greece,
Costa Rica,
Indonesia,1
Liberia,
Suriname,
Vietnam,1
United States,<1
Madagascar,
Myanmar (Burma),
Israel,
Iran,
Hong Kong,
Malawi,
Kazakhstan,
North Macedonia,
Cambodia,
Romania,
Ecuador,
Netherlands,
Dominican Republic,
Guatemala,
Switzerland,
Papua New Guinea,
South Korea,
Zambia,
Germany,<1
Sweden,
Trinidad & Tobago,
Hungary,
Belgium,
Ethiopia,
Norway,
Denmark,
Malta,
Albania,
Thailand,
Kosovo,
Venezuela,
Czechia,
Finland,
Argentina,
Sudan,
Brazil,<1
Laos,
Austria,
Mongolia,
Montenegro,
Türkiye,
Ghana,
Italy,
Bosnia & Herzegovina,
Tanzania,
Cuba,
Chile,
St. Helena,
Spain,
Colombia,
Mexico,
Croatia,
Russia,
Afghanistan,
Rwanda,
France,
Peru,
Libya,
Slovenia,
Poland,
Luxembourg,
Taiwan,
Kyrgyzstan,
Cameroon,
Ukraine,
Japan,
Puerto Rico,
Jamaica,
Syria,
Angola,
Palestine,
Azerbaijan,
Lithuania,
Mozambique,
Armenia,
Congo - Kinshasa,
Estonia,
Slovakia,
Honduras,
Latvia,
Côte d’Ivoire,
Paraguay,
Panama,
Uruguay,
Belarus,
Mauritania,
Aruba,
St. Barthélemy,
Mali,
Moldova,
Monaco,
St. Martin,
Macao,
Northern Mariana Islands,
Belize,
Curaçao,
Cayman Islands,
Martinique,
Bermuda,
Liechtenstein,
Bahamas,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Burkina Faso,
Nicaragua,
Niue,
St. Lucia,
Bolivia,
Caribbean Netherlands,
Nauru,
Benin,
Bouvet Island,
Burundi,
St. Kitts & Nevis,
Pitcairn Islands,
Kiribati,
Central African Republic,
Palau,
Cocos (Keeling) Islands,
Jersey,
Iceland,
North Korea,
British Indian Ocean Territory,
Isle of Man,
Haiti,
French Polynesia,
Antigua & Barbuda,
Réunion,
Heard & McDonald Islands,
Guyana,
Guam,
French Southern Territories,
French Guiana,
Senegal,
Antarctica,
South Georgia & South Sandwich Islands,
Greenland,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
American Samoa,
St. Pierre & Miquelon,
Grenada,
Equatorial Guinea,
São Tomé & Príncipe,
Guinea-Bissau,
Gambia,
Guadeloupe,
Guinea,
Andorra,
Sint Maarten,
Seychelles,
Gibraltar,
Turks & Caicos Islands,
Chad,
Guernsey,
Congo - Brazzaville,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Cook Islands,
Åland Islands,
Gabon,
Tuvalu,
Micronesia,
Faroe Islands,
Anguilla,
Falkland Islands (Islas Malvinas),
U.S. Outlying Islands,
Western Sahara,
Eritrea,
Comoros,
Vatican City,
St. Vincent & Grenadines,
Cape Verde,
British Virgin Islands,
U.S. Virgin Islands,
Dominica,
Vanuatu,
Wallis & Futuna,
Samoa,
Djibouti,
Yemen,
Montserrat,
Christmas Island,
Marshall Islands,
